"Package","Classes","Total"
"affxparser","",0
"affy","AffyBatch, ProbeSet, ProgressBarText",3
"affyio","",0
"affyPLM","PLMset",1
"AIMS","",0
"ALDEx2","aldex.clr",1
"ANCOMBC","",0
"annaffy","aafList, aafIntensity, aafProbe, aafSigned, aafLocusLink, aafSymbol, aafGO, aafPubMed, aafPathway, aafGOItem, aafChromosome, aafPathwayItem, aafDescription, aafCytoband, aafTable, aafChromLoc, aafGenBank",17
"annotate","chromLocation, FramedHTMLPage, HTMLPage, pubMedAbst, homoData",5
"AnnotationDbi","Go3AnnDbBimap, GODb, ProbeGo3AnnDbBimap, ProbeIpiAnnDbMap, FlatBimap, GoAnnDbBimap, OrgDb, L2Rlink, AnnDbBimap, ReactomeDb, ProbeAnnDbMap, AnnDbObj, Bimap, GOTermsAnnDbBimap, AgiAnnDbMap, GOTerms, GOFrame, KEGGFrame, AnnDbMap, IpiAnnDbMap, ChipDb, GOAllFrame, AnnObj, ProbeAnnDbBimap, AnnotationDb",25
"AnnotationFilter","ExonIdFilter, TxStartFilter, DoubleFilter, SeqStrandFilter, CdsStartFilter, EntrezFilter, TxIdFilter, GeneNameFilter, UniprotFilter, TxBiotypeFilter, CharacterFilter, SymbolFilter, AnnotationFilter, GRangesFilter, SeqNameFilter, AnnotationFilterList, GeneBiotypeFilter, ExonRankFilter, CdsEndFilter, ExonNameFilter, TxEndFilter, ExonEndFilter, GenenameFilter, GeneStartFilter, ProteinIdFilter, IntegerFilter, TxNameFilter, GeneEndFilter, GeneIdFilter, ExonStartFilter",30
"AnnotationForge","AnnDbPkgSeed",1
"AnnotationHub","AnnotationHub, Hub, AnnotationHubResource",3
"AnnotationHubData","UCSCTrackImportPreparer, AnnotationHubMetadata, EnsemblFastaImportPreparer, HubMetadata, ImportPreparer, EnsemblGtfImportPreparer, Inparanoid8ImportPreparer, UCSCChainPreparer, NCBIImportPreparer, Grasp2ImportPreparer",10
"annotatr","",0
"AnVIL","Service, Dockstore, Leonardo, Rawls, Terra",5
"apeglm","",0
"aroma.light","",0
"ArrayExpress","",0
"arrayQualityMetrics","aqmReportModule, outlierDetection",2
"AUCell","",0
"ballgown","ballgown",1
"bambu","",0
"bamsignals","CountSignals",1
"basilisk","BasiliskEnvironment",1
"basilisk.utils","",0
"batchelor","BatchelorParam, ClassicMnnParam, RescaleParam, FastMnnParam, RegressParam, NoCorrectParam",6
"BayesSpace","",0
"baySeq","countData, densityFunction",2
"beachmat","",0
"beadarray","ExpressionSetIllumina, BeadLevelList, beadLevelData, beadRegistrationData, illuminaChannel, limmaResults",6
"BeadDataPackR","",0
"Biobase","aggregator, ExpressionSet, Versions, ScalarInteger, container, eSet, Versioned, AssayData, SnpSet, MIAME, MIAxE, VersionsNull, ScalarObject, data.frameOrNULL, ScalarCharacter, NChannelSet, characterORMIAME, ScalarNumeric, VersionedBiobase, annotatedDataset, MultiSet, AnnotatedDataFrame, ScalarLogical",23
"biobroom","",0
"BiocBaseUtils","",0
"BiocCheck","BiocCheck",1
"BiocFileCache","",0
"BiocGenerics","file, dist, AsIs, bzfile, sockconn, gzfile, connection, character_OR_connection, unz, pipe, url, textConnection, terminal, gzcon, fifo",15
"BiocIO","CompressedFile, BiocFileList, BiocFile",3
"BiocNeighbors","AnnoyIndex, BiocNeighborIndex, KmknnParam, VptreeParam, VptreeIndex, HnswParam, ExhaustiveParam, HnswIndex, KmknnIndex, AnnoyParam, ExhaustiveIndex, BiocNeighborParam",12
"BiocParallel","MulticoreParam, DoparParam, SerialParam, BiocParallelParam, BatchtoolsParam, SnowParam, BPValidate",7
"BiocSet","OBOSet, BiocSet",2
"BiocSingular","LowRankMatrix, ExactParam, IrlbaParam, BiocSingularParam, FastAutoParam, RandomParam, LowRankMatrixSeed",7
"BiocStyle","",0
"biocthis","",0
"BiocVersion","",0
"biocViews","RepositoryDetail, bvTitle, bvSubViews, bvParentViews, pdAuthorMaintainerInfo, BiocView, pdDetailsInfo, rdPackageTable, bvPackageTable, Htmlized, pdVigsAndDownloads, pdDownloadInfo, pdVignetteInfo, pdDescriptionInfo, PackageDetail",15
"BiocWorkflowTools","",0
"bioDist","",0
"biomaRt","Mart",1
"biomformat","biom",1
"BioNERO","",0
"BioNet","",0
"Biostrings","BStringSet, RNAMultipleAlignment, XStringSet, AAMultipleAlignment, PDict, SolexaQuality, XStringQuality, QualityScaledRNAStringSet, MTB_PDict, ACtree2, PhredQuality, Twobit, RNAStringSet, QualityScaledDNAStringSet, Expanded_TB_PDict, MaskedBString, MaskedAAString, ByPos_MIndex, MaskedRNAString, XStringSetList, DNAStringSetList, DNAMultipleAlignment, AAStringSet, AAStringSetList, MaskedXString, BString, MultipleAlignment, MIndex, XStringPartialMatches, BStringSetList, XStringViews, DNAString, RNAStringSetList, PDict3Parts, QualityScaledBStringSet, AAString, TB_PDict, IlluminaQuality, RNAString, QualityScaledAAStringSet, DNAStringSet, XString, QualityScaledXStringSet, PreprocessedTB, MaskedDNAString",45
"biovizBase","",0
"bluster","DmmParam, SNNGraphParam, SomParam, FixedNumberParam, AgnesParam, NNGraphParam, KNNGraphParam, PamParam, AffinityParam, HclustParam, BlusterParam, TwoStepParam, ClaraParam, HierarchicalParam, KmeansParam, DbscanParam, DianaParam, MbkmeansParam",18
"BSgenome","OnDiskLongTable_old, ODLT_SNPlocs, OldFashionSNPlocs, GRanges_OR_NULL, SNPlocs, MaskedBSgenome, OnDiskLongTable, XtraSNPlocs, BSgenomeViews, BSgenome, InjectSNPsHandler",11
"bsseq","hasGRanges, matrixOrNULL, BSseqTstat, BSseq, BSseqStat",5
"bumphunter","",0
"BumpyMatrix","BumpyCharacterMatrix, BumpyAtomicMatrix, BumpyLogicalMatrix, BumpyDataFrameMatrix, BumpyMatrix, BumpyIntegerMatrix, BumpyNumericMatrix",7
"BUSpaRse","",0
"CATALYST","",0
"Category","AffyDatPkg, ChrBandTree, LinearMResult, PFAMHyperGResult, YeastDatPkg, ChrMapHyperGParams, HyperGParams, PFAMHyperGParams, LinearMParams, HyperGResultBase, KEGGHyperGResult, DatPkg, OBOCollectionDatPkg, Org.XX.egDatPkg, GOHyperGParams, ChrMapHyperGResult, ChrMapLinearMResult, LinearMResultBase, HyperGResult, KEGGHyperGParams, ChrMapLinearMParams",21
"cBioPortalData","cBioPortal",1
"celda","",0
"CelliD","",0
"CGHbase","cghRegions, cghRaw, cghSeg, cghCall",4
"CGHcall","",0
"ChemmineR","AP, SMI, jobToken, SMIset, FP, SDF, SDFset, FPset, SDFstr, APset",10
"ChIPpeakAnno","annoGR, bindist, permPool",3
"ChIPQC","ChIPQCexperiment, ChIPQCsample",2
"ChIPseeker","csAnno",1
"chipseq","",0
"cicero","",0
"ClassifyR","SelectParams, TransformParams, TrainParams, PredictParams, ModellingParams, CrossValParams, FeatureSetCollection, ClassifyResult",8
"clusterExperiment","ClusterFunction, ClusterExperiment",2
"clusterProfiler","groupGOResult",1
"cmapR","",0
"cn.mops","CNVDetectionResult",1
"CoGAPS","CogapsResult, CogapsParams",2
"ComplexHeatmap","Heatmap, Legends, AnnotationFunction, HeatmapList, ColorMapping, SingleAnnotation, HeatmapAnnotation, AdditiveUnit",8
"CompoundDb","NameFilter, FormulaFilter, SpectrumIdFilter, IonIdFilter, MsmsMzRangeMinFilter, IonMzFilter, CompoundIdFilter, IonDb, MsBackendCompDb, ExactmassFilter, IonAdductFilter, MsmsMzRangeMaxFilter, InchiFilter, IonRtFilter, CompDb, InchikeyFilter",16
"ConsensusClusterPlus","",0
"cqn","",0
"crlmm","PredictionRegion",1
"csaw","readParam",1
"ctc","",0
"cummeRbund","CuffGeneSet, CuffFeature, CuffGene, CuffData, CuffSet, CuffFeatureSet, CuffDist",7
"cytolib","",0
"cytomapper","CytoImageList",1
"CytoML","diva_workspace, flowjo_workspace",2
"dada2","",0
"DECIPHER","",0
"DeconRNASeq","",0
"decontam","",0
"decoupleR","",0
"DEFormats","",0
"DEGreport","",0
"DelayedArray","DelayedAbind, DelayedNaryOp, DelayedUnaryIsoOp, RealizationSink, arrayRealizationSink, RleArray, DelayedArray, DelayedAperm, RleMatrix, SolidRleArraySeed, ConstantArraySeed, RleRealizationSink, DelayedNaryIsoOp, DelayedArray1, DelayedMatrix, DelayedUnaryOp, ConstantMatrix, DelayedSetDimnames, ChunkedRleArraySeed, ConstantArray, SparseArraySeed, DelayedSubset, integer_OR_NULL, DelayedUnaryIsoOpStack, DelayedUnaryIsoOpWithArgs, DelayedSubassign, DelayedOp, RleArraySeed",28
"DelayedMatrixStats","",0
"demuxmix","Demuxmix",1
"DEP","",0
"DepecheR","",0
"DEqMS","",0
"derfinder","",0
"derfinderHelper","",0
"DESeq2","DESeqTransform, DESeqResults, DESeqDataSet",3
"DEsingle","",0
"destiny","DiffusionMap, DPT, Sigmas, GeneRelevance",4
"DEXSeq","DEXSeqDataSet, DEXSeqResults",2
"DiffBind","",0
"diffcyt","",0
"dir.expiry","",0
"DirichletMultinomial","DMNGroup, DMN",2
"distinct","",0
"dittoSeq","",0
"DMRcate","CpGannotated, DMResults",2
"DNABarcodes","",0
"DNAcopy","",0
"DOSE","compareClusterResult, enrichResult, gseaResult",3
"drawProteins","",0
"DRIMSeq","",0
"DropletUtils","",0
"DSS","SeqCountSet",1
"DynDoc","chunkList, Vignette, SweaveOptions, codeChunk, DynDoc, vignetteCode",6
"EBarrays","",0
"EBImage","Image",1
"EBSeq","",0
"EDASeq","SeqExpressionSet",1
"edgeR","DGELRT, DGEExact, DGEGLM, DGEList, TopTags",5
"eds","",0
"EnhancedVolcano","",0
"ENmix","rgDataSet, methDataSet",2
"EnrichedHeatmap","",0
"EnrichmentBrowser","",0
"enrichplot","",0
"ensembldb","TxIsCanonicalFilter, EnsDb, ProteinDomainSourceFilter, UniprotMappingTypeFilter, OnlyCodingTxFilter, ProtDomIdFilter, TxExternalNameFilter, UniprotDbFilter, TxSupportLevelFilter",9
"EpiDISH","",0
"escape","",0
"ExperimentHub","ExperimentHub",1
"ExperimentHubData","ExperimentHubMetadata",1
"fastseg","",0
"fgsea","",0
"fishpond","",0
"flowAI","",0
"flowClean","",0
"flowClust","flowDens, tmixFilterResultList, tmixFilter, flowClust, flowClustList, tmixFilterResult",6
"flowCore","filters, filterList, normalization, unionFilter, logicalFilterResult, setOperationFilter, polygonGate, transformFilter, complementFilter, transformList, compensatedParameter, filterReference, randomFilterResult, transformReference, quadratic, splitscale, hyperlogtGml2, flowFrame, polytopeGate, rectangleGate, hyperlog, transform, dg1polynomial, timeFilter, manyFilterResult, filterResultList, transformMap, boundaryFilter, parameterFilter, filterResult, EHtrans, concreteFilter, logarithm, filterSummary, parameters, filterSummaryList, sampleFilter, subsetFilter, filtersList, kmeansFilter, asinhtGml2, logtGml2, multiRangeGate, expressionFilter, flowSet, sinht, ellipsoidGate, compensation, invsplitscale, logicletGml2, squareroot, filter, ratio, lintGml2, intersectFilter, unitytransform, exponential, parameterTransform, ratiotGml2, quadGate, asinht",61
"flowDensity","CellPopulation",1
"FlowSOM","",0
"flowStats","norm2Filter, rangeFilter, curv1Filter, curv2Filter, lymphFilter",5
"flowViz","",0
"flowWorkspace","GatingSetList, cytoframe, booleanFilter, cytoset, GatingSet, GatingHierarchy",6
"fmcsR","MCS",1
"gage","",0
"gcrma","",0
"GDCRNATools","",0
"gdsfmt","",0
"genefilter","rowROC",1
"GeneOverlap","GeneOverlapMatrix, GeneOverlap",2
"geneplotter","",0
"GENESIS","",0
"GENIE3","",0
"genomation","AnnotationByGeneParts, RandomEnrichment, AnnotationByFeature, ScoreMatrixList, ScoreMatrix",5
"GenomeInfoDb","GenomeDescription, Seqinfo",2
"GenomicAlignments","GappedReads, OverlapEncodings, GAlignmentsList, GAlignments, GAlignmentPairs",5
"GenomicDataCommons","",0
"GenomicFeatures","FeatureDb, TxDb",2
"GenomicFiles","VcfStack, GenomicFiles, RangedVcfStack",3
"GenomicInteractions","GenomicInteractions",1
"GenomicRanges","CompressedGRangesList, Constraint_OR_NULL, GNCList, GPos, GenomicRanges_OR_GRangesList, GenomicRanges_OR_GenomicRangesList, GenomicPos, GRangesList, GenomicRanges_OR_missing, SimpleGenomicRangesList, GRanges, Constraint, GenomicRanges, StitchedGPos, UnstitchedGPos, GRangesFactor, SimpleGRangesList, IRanges_OR_IPos, GenomicRangesList, CompressedGenomicRangesList, DelegatingGenomicRanges",21
"GenomicScores","GScores",1
"GenVisR","Rainfall, Lolliplot, Clinical, MutSpectra, VEP, GMS, MutationAnnotationFormat, Waterfall",8
"GEOmetadb","",0
"GeomxTools","NanoStringGeoMxSet",1
